start_hex,end_hex,size,representation
001D,001D,1,inline .db
002C,002F,4,inline .db
0065,0065,1,inline .db
0759,0763,11,inline .db
07C1,07C3,3,inline .db
080D,0958,332,road_tilemap_hud_labels.bin
0F8F,1269,731,player_physics_tables.bin
1304,1330,45,bcd_digit_patterns.bin
15CB,23D2,3592,road_curvature_tables.bin
2469,247C,20,time_digit_patterns.bin
2553,2A5C,1290,object_layout_tables.bin
2CC5,2EF2,558,course_physics_tables.bin
2FDD,3087,171,bike_animation_tables.bin
3136,3405,720,road_patch_tilemap_table.bin
3489,34BE,54,course_segment_offsets.bin
34D1,3552,130,road_tilemap_initialize.bin
35D0,35E4,21,score_bcd_increment_table.bin
3669,3693,43,start_light_tilemaps.bin
36FF,370A,12,inline .db
37CF,37D8,10,inline .db
3939,3944,12,inline .db
3976,39FB,134,stage_palettes_and_init_state.bin
3A80,3B0A,139,message_strings.bin
3C1D,3C3C,32,course_collision_table.bin
3D9B,3DAA,16,inline .db

3E79,3F00,135,container_padding.bin
3F00,4E20,3872,sprite_tiles_compressed.bin
4E20,5903,2787,tile_patterns_compressed.bin
5903,63C1,2750,background_tiles_compressed.bin
63C1,670D,844,title_graphics_compressed.bin
670D,6D55,1608,course_data.bin
6D55,7055,768,background_scroll_tilemap.bin
7055,7116,194,road_tilemap_second.bin
7383,748A,264,engine_tone_tables.bin
76D9,76DC,4,inline .db
76FE,7701,4,inline .db
770B,795B,593,psg_note_tables_and_sfx.bin
795C,79A5,74,track86_race_start.bin
79A6,79BB,22,track87_time_countdown.bin
79BC,7A41,134,track88_congratulations.bin
7A42,7B72,305,track89_game_over.bin
7B73,7D37,453,track8a_easter_egg_theme.bin
7D38,7D63,44,track8b_explosion.bin
7D64,7D73,16,inline .db
7D74,7D82,15,inline .db
7D83,7DBE,60,track8f_title_screen.bin
