start_hex,end_hex,size
0000,001C,29
001E,002B,14
0030,0064,53
0066,00A1,60
00A7,04FB,1109
05F1,0758,360
0764,07C0,93
07C4,080C,73
0959,0F8E,1590
126A,1303,154
1331,1355,37
1394,15CA,567
23D3,2468,150
247D,253C,192
2A5D,2CC4,616
2EF3,2FDC,234
3088,3135,174
3406,3488,131
34BF,34D0,18
3553,35CF,125
35E5,3668,132
3694,36FE,107
370B,37CE,196
37D9,3938,352
3945,3975,49
39FC,3A7F,132
3B0B,3C1C,274
3C3D,3D9A,350
3DAB,3E78,206
7117,7382,620
748B,74AB,33
74EC,7616,299
7633,76D8,166
76DD,76FD,33
7702,770A,9
7DBF,7E14,86
