address_hex,symbol,kind
0000,Reset,semantic
0008,WaitForVBlankAndClearPauseFlag,semantic
000C,loc_000C,local
0016,WriteAAndHToVDPControl,semantic
001E,WriteDataToVDP,semantic
0027,loc_0027,local
0030,WaitForVBlank,semantic
0034,loc_0034,local
0038,InterruptHandler,semantic
0042,MutePSG,semantic
0053,PauseLoop,semantic
005F,loc_005F,local
0066,NMIHandler,semantic
0071,loc_0071,local
007D,loc_007D,local
00A7,ColdStart,semantic
00B3,loc_00B3,local
00E0,loc_00E0,local
012F,loc_012F,local
0169,loc_0169,local
0179,loc_0179,local
0187,loc_0187,local
019F,loc_019F,local
01A6,loc_01A6,local
01C8,VBlankHandler,semantic
020B,loc_020B,local
0235,loc_0235,local
024E,loc_024E,local
0266,RunFrameTail,semantic
0276,loc_0276,local
027F,loc_027F,local
029E,UpdateSpriteTable,semantic
02B2,loc_02B2,local
02C4,loc_02C4,local
02CF,InitializeGameplay,semantic
0320,loc_0320,local
0324,loc_0324,local
034F,loc_034F,local
0361,loc_0361,local
037F,loc_037F,local
03A4,loc_03A4,local
03B3,LineInterruptHandlerROM,semantic
03C8,loc_03C8,local
03DD,SplashAndTitleScreen,semantic
040F,loc_040F,local
0423,loc_0423,local
0457,loc_0457,local
0484,loc_0484,local
0488,loc_0488,local
049C,loc_049C,local
04B9,loc_04B9,local
04D0,loc_04D0,local
04E2,loc_04E2,local
04EA,loc_04EA,local
04EC,loc_04EC,local
05F1,MultiplyHLByB,semantic
05F6,loc_05F6,local
05FA,loc_05FA,local
05FD,DrawNullTerminatedTilemap,semantic
0602,loc_0602,local
060F,SetVDPRegisterCToB,semantic
0616,WriteAToVDPAtHL,semantic
0620,ReadAFromVDPAtHL,semantic
0628,CopyRAMToVRAM,semantic
062E,loc_062E,local
0638,CopyVRAMToRAM,semantic
063D,loc_063D,local
0647,CopyVRAMToVRAM,semantic
0657,BlankTilemapPalette1,semantic
0661,loc_0661,local
0674,BlankTilemapPalette2,semantic
067E,loc_067E,local
0691,MoveAllSpritesOffscreen,semantic
0699,FillVRAM,semantic
06A0,loc_06A0,local
06AA,TurnScreenOff,semantic
06B5,TurnScreenOn,semantic
06C0,SetVDPRegisters,semantic
06C7,loc_06C7,local
06D1,InitializeDisplay,semantic
071F,LoadInitialGraphics,semantic
0764,ReadControls,semantic
0780,Delay,semantic
0782,loc_0782,local
0785,loc_0785,local
078D,DecompressTiles,semantic
078F,loc_078F,local
079A,DecompressBitplane,semantic
07A2,loc_07A2,local
07AD,loc_07AD,local
07AF,loc_07AF,local
07B4,loc_07B4,local
07C4,ReverseFlipAndEmitTiles,semantic
07CC,loc_07CC,local
07F5,loc_07F5,local
07FC,loc_07FC,local
0800,loc_0800,local
0959,DrawRoad,semantic
0961,loc_0961,local
0966,loc_0966,local
0986,loc_0986,local
098B,loc_098B,local
09AF,ObjectHandlerType01,semantic
09C7,loc_09C7,local
09E2,loc_09E2,local
09F0,loc_09F0,local
0A02,loc_0A02,local
0A13,loc_0A13,local
0A1B,loc_0A1B,local
0A21,loc_0A21,local
0A4C,loc_0A4C,local
0A6B,loc_0A6B,local
0A94,loc_0A94,local
0AA9,loc_0AA9,local
0AB0,loc_0AB0,local
0AB5,loc_0AB5,local
0ABD,loc_0ABD,local
0ABF,loc_0ABF,local
0AC2,loc_0AC2,local
0AE0,loc_0AE0,local
0AE8,loc_0AE8,local
0AEF,loc_0AEF,local
0B1A,loc_0B1A,local
0B37,loc_0B37,local
0B70,loc_0B70,local
0B78,loc_0B78,local
0B9E,loc_0B9E,local
0BA1,loc_0BA1,local
0BAE,loc_0BAE,local
0BC5,loc_0BC5,local
0BDD,loc_0BDD,local
0BE0,loc_0BE0,local
0BFA,loc_0BFA,local
0C04,loc_0C04,local
0C0D,loc_0C0D,local
0C22,loc_0C22,local
0C2C,loc_0C2C,local
0C3B,loc_0C3B,local
0C55,loc_0C55,local
0C58,loc_0C58,local
0C64,loc_0C64,local
0C73,loc_0C73,local
0C87,loc_0C87,local
0CA6,loc_0CA6,local
0CC0,loc_0CC0,local
0CDD,loc_0CDD,local
0CE3,loc_0CE3,local
0CE6,loc_0CE6,local
0D0B,loc_0D0B,local
0D2C,loc_0D2C,local
0D39,loc_0D39,local
0D70,loc_0D70,local
0D87,loc_0D87,local
0D97,loc_0D97,local
0D9E,loc_0D9E,local
0DB7,loc_0DB7,local
0DCE,loc_0DCE,local
0DF6,loc_0DF6,local
0E04,loc_0E04,local
0E1D,loc_0E1D,local
0E2D,loc_0E2D,local
0E34,loc_0E34,local
0E4E,loc_0E4E,local
0E64,loc_0E64,local
0E8C,loc_0E8C,local
0EA1,loc_0EA1,local
0EAE,loc_0EAE,local
0EB9,loc_0EB9,local
0EC8,loc_0EC8,local
0EDE,loc_0EDE,local
0EF1,loc_0EF1,local
0EFB,loc_0EFB,local
0F07,loc_0F07,local
0F0B,loc_0F0B,local
0F2F,loc_0F2F,local
0F52,loc_0F52,local
0F72,loc_0F72,local
0F7B,loc_0F7B,local
0F89,loc_0F89,local
126A,UpdateRoadCurve,semantic
1282,loc_1282,local
1293,loc_1293,local
12A0,loc_12A0,local
12AB,DrawSpeed,semantic
12CE,loc_12CE,local
12DC,loc_12DC,local
1331,UpdateGameState,semantic
1347,loc_1347,local
1354,GameStateDispatchBase,semantic
1394,StateHandler01,semantic
13AB,StateHandlerDefault,semantic
13C1,loc_13C1,local
13CF,StateHandler04_05_20_21,semantic
13F7,loc_13F7,local
140C,loc_140C,local
1413,loc_1413,local
1422,loc_1422,local
142B,loc_142B,local
1435,loc_1435,local
1444,loc_1444,local
144F,loc_144F,local
1456,StateHandler06_07,semantic
1473,loc_1473,local
148F,loc_148F,local
1494,StateHandler08_09_24_25,semantic
14BB,loc_14BB,local
14D0,loc_14D0,local
14D7,loc_14D7,local
14E1,loc_14E1,local
14ED,loc_14ED,local
14F8,loc_14F8,local
1501,StateHandler10_26,semantic
1532,loc_1532,local
1539,loc_1539,local
1561,loc_1561,local
1569,loc_1569,local
1571,loc_1571,local
1580,loc_1580,local
1589,StateHandler22_23,semantic
15A6,loc_15A6,local
15AF,loc_15AF,local
15C6,loc_15C6,local
23D3,UpdateSpeedDisplay,semantic
23E2,loc_23E2,local
23F3,loc_23F3,local
2402,UpdateTimeLeft,semantic
2433,loc_2433,local
2438,loc_2438,local
244C,loc_244C,local
247D,WriteDigitBToVDP,semantic
2489,WriteAToVRAMDE,semantic
2496,UpdateObjects,semantic
24A1,loc_24A1,local
24BB,loc_24BB,local
24CD,loc_24CD,local
24E5,loc_24E5,local
24F1,loc_24F1,local
250A,loc_250A,local
2522,loc_2522,local
2537,loc_2537,local
253B,ObjectDispatchBase,semantic
2A5D,ObjectHandlerType02,semantic
2A84,loc_2A84,local
2AC9,loc_2AC9,local
2AD4,loc_2AD4,local
2ADA,loc_2ADA,local
2AEA,loc_2AEA,local
2AFA,loc_2AFA,local
2B13,loc_2B13,local
2B22,loc_2B22,local
2B2D,loc_2B2D,local
2B50,loc_2B50,local
2B5B,loc_2B5B,local
2B5E,loc_2B5E,local
2B81,loc_2B81,local
2B84,loc_2B84,local
2B93,loc_2B93,local
2B9B,loc_2B9B,local
2B9F,loc_2B9F,local
2BC3,loc_2BC3,local
2BD1,loc_2BD1,local
2C03,loc_2C03,local
2C15,loc_2C15,local
2C31,loc_2C31,local
2C78,loc_2C78,local
2C8B,loc_2C8B,local
2CA0,loc_2CA0,local
2EF3,UpdateBikeAnimation,semantic
2F04,loc_2F04,local
2F13,loc_2F13,local
2F1C,loc_2F1C,local
2F3B,loc_2F3B,local
2F5A,loc_2F5A,local
2F6B,loc_2F6B,local
2F82,loc_2F82,local
2F9E,loc_2F9E,local
2FA2,loc_2FA2,local
2FA4,loc_2FA4,local
2FB7,loc_2FB7,local
2FC9,loc_2FC9,local
2FCD,loc_2FCD,local
2FD0,loc_2FD0,local
2FDA,loc_2FDA,local
3088,PatchRoadTilemap,semantic
3099,loc_3099,local
30B6,loc_30B6,local
30BE,loc_30BE,local
30DC,loc_30DC,local
30E1,loc_30E1,local
30FA,loc_30FA,local
310C,loc_310C,local
3129,loc_3129,local
3406,UpdatePlayer,semantic
341F,loc_341F,local
3431,loc_3431,local
3441,loc_3441,local
347D,loc_347D,local
3483,loc_3483,local
34BF,InitializeRoad,semantic
3553,UpdateScore,semantic
356A,loc_356A,local
3577,UpdateHighScore,semantic
3580,loc_3580,local
3590,DrawScore,semantic
35A1,DrawBCDThreeBytes,semantic
35A4,loc_35A4,local
35B1,loc_35B1,local
35B9,loc_35B9,local
35C4,loc_35C4,local
35C7,loc_35C7,local
35E5,DrawStartLights,semantic
3612,UpdateStartLights,semantic
364E,loc_364E,local
3694,EmitTilemapRectangle,semantic
3698,loc_3698,local
